,PtZ=0,PtZ=0to50,PtZ=50to100,PtZ=100to250,PtZ=250to400,PtZ=400to650,PtZ=650toInf
NJets=0,0.6020241726903117,0.20181040727542343,0.12723612832789347,0.05872756933115824,0.005309734513274336,0.023255813953488372,0
NJets=1,0,0.1542647148342637,0.10621252695485994,0.05154086609393804,0.007470115092724796,0.005896204599092444,0.0006152868352282139
NJets=2,0,0.16309589372902775,0.11164674377667613,0.054416485111969184,0.007903525434754954,0.006443990439106694,0.0005507948178383997
