,HT=0,HT=0to70,HT=70to100,HT=100to200,HT=200to400,HT=400to600,HT=600to800,HT=800to1200,HT=1200to2500,HT=2500toInf
NJets=0,1.0,0,0,0,0,0,0,0,0,0
NJets=1,0,0.22760975998479457,0.026304934324080882,0.032295643314171174,0.007820070942520164,0.005046931748502429,0.0016616407163517755,0.0012867942737654818,0,0
NJets=2,0,0.1363104304148371,0.02387410067481817,0.029030699819395687,0.008184757422966317,0.008275111323004864,0.0019245975502409478,0.0009010293774470402,0.0002610299018083263,5.4355211305883954e-05
NJets=3,0,0.0649885499846876,0.020398333442240717,0.023980735610027157,0.007919162708262052,0.008209729948231274,0.0021265733797536154,0.0010274497776414661,0.0002473868582813223,2.593473092716663e-05
NJets=4,0,0.06437167646235656,0.018514915812927406,0.02311330121160795,0.007744727507511555,0.008020881733028963,0.0019989989886443297,0.0009393016518681443,0.00023152624309392261,1.4905826019198705e-05
